datetime,lat,lon,time,label
2016-09-11 13:41:30,43.28378,5.400362,1473594090,2
2016-09-11 13:43:07,43.283723,5.400313,1473594187,2
2016-09-11 13:44:07,43.283735,5.4003,1473594247,2
2016-09-11 13:45:07,43.28376,5.400336,1473594307,2
2016-09-11 13:46:07,43.283747,5.400311,1473594367,2
2016-09-11 13:47:07,43.28408,5.400369,1473594427,2
2016-09-11 13:48:34,43.284094,5.400434,1473594514,2
2016-09-11 13:49:07,43.284094,5.400434,1473594547,2
2016-09-11 13:50:24,43.284094,5.400434,1473594624,2
2016-09-11 13:51:35,43.284094,5.400434,1473594695,1
2016-09-11 13:53:30,43.283742,5.40027,1473594810,2
2016-09-11 13:54:41,43.285183,5.398786,1473594881,2
2016-09-11 13:55:22,43.285636,5.399271,1473594922,2
2016-09-11 13:56:59,43.280175,5.399339,1473595019,2
2016-09-11 13:57:54,43.280175,5.399339,1473595074,1
2016-09-11 13:59:28,43.279187,5.396076,1473595168,2
2016-09-11 14:00:00,43.279641,5.395267,1473595200,2
2016-09-11 14:00:55,43.28124,5.392182,1473595255,2
2016-09-11 14:01:55,43.280221,5.394186,1473595315,2
2016-09-11 14:03:31,43.279866,5.394711,1473595411,2
2016-09-11 14:04:36,43.279821,5.394726,1473595476,2
2016-09-11 14:05:31,43.279796,5.394699,1473595531,2
2016-09-11 14:06:59,43.279864,5.394735,1473595619,2
2016-09-11 14:08:09,43.279862,5.394735,1473595689,2
2016-09-11 14:09:01,43.279899,5.394734,1473595741,2
2016-09-11 14:10:01,43.279856,5.394723,1473595801,2
2016-09-11 14:11:16,43.279856,5.394723,1473595876,3
2016-09-11 14:12:17,43.279719,5.395162,1473595937,2
2016-09-11 14:13:17,43.28105,5.389117,1473595997,2
2016-09-11 14:15:01,43.283894,5.38491,1473596101,2
2016-09-11 14:15:37,43.286112,5.383686,1473596137,2
2016-09-11 14:17:00,43.284561,5.383078,1473596220,2
2016-09-11 14:17:46,43.283917,5.38341,1473596266,2
2016-09-11 14:18:37,43.283831,5.383679,1473596317,2
2016-09-11 14:19:37,43.283822,5.383629,1473596377,2
2016-09-11 14:20:37,43.283552,5.383642,1473596437,2
2016-09-11 14:21:44,43.283221,5.383714,1473596504,2
2016-09-11 14:22:37,43.283274,5.38377,1473596557,2
2016-09-11 14:23:37,43.283241,5.383822,1473596617,2
2016-09-11 14:24:08,43.283241,5.383822,1473596648,1
2016-09-11 14:25:09,43.283277,5.383865,1473596709,2
2016-09-11 14:26:44,43.283832,5.383672,1473596804,2
2016-09-11 14:27:40,43.283974,5.384273,1473596860,2
2016-09-11 14:28:14,43.283801,5.386059,1473596894,2
2016-09-11 14:29:14,43.28212,5.386411,1473596954,2
2016-09-11 14:30:14,43.281777,5.383084,1473597014,2
2016-09-11 14:31:14,43.283256,5.382466,1473597074,2
2016-09-11 14:32:14,43.283447,5.382346,1473597134,2
2016-09-11 14:33:14,43.28344,5.382368,1473597194,2
2016-09-11 14:34:14,43.283487,5.382434,1473597254,2
2016-09-11 14:35:14,43.283073,5.382483,1473597314,2
2016-09-11 14:36:59,43.283,5.38259,1473597419,2
2016-09-11 14:38:49,43.283001,5.38259,1473597529,2
2016-09-11 14:39:27,43.283001,5.38259,1473597567,2
2016-09-11 14:40:13,43.28299,5.382422,1473597613,2
2016-09-11 14:41:13,43.282991,5.382422,1473597673,2
2016-09-11 14:42:13,43.282991,5.382422,1473597733,2
2016-09-11 14:43:08,43.282991,5.382422,1473597788,1
2016-09-11 14:44:28,43.282998,5.382438,1473597868,2
2016-09-11 14:46:01,43.283436,5.382356,1473597961,2
2016-09-11 14:47:08,43.283777,5.383425,1473598028,2
2016-09-11 14:48:45,43.282099,5.385588,1473598125,2
2016-09-11 14:49:05,43.281084,5.386144,1473598145,2
2016-09-11 14:50:09,43.278797,5.387489,1473598209,2
2016-09-11 14:51:05,43.278011,5.387871,1473598265,2
2016-09-11 14:52:05,43.278036,5.388027,1473598325,2
2016-09-11 14:53:05,43.278039,5.388258,1473598385,2
2016-09-11 14:54:43,43.278039,5.388258,1473598483,2
2016-09-11 14:55:05,43.278059,5.38817,1473598505,2
2016-09-11 14:55:43,43.278059,5.38817,1473598543,1
2016-09-11 14:56:59,43.277964,5.387753,1473598619,2
2016-09-11 14:58:01,43.278046,5.388414,1473598681,2
2016-09-11 14:59:28,43.277726,5.388492,1473598768,2
2016-09-11 15:00:00,43.275902,5.389074,1473598800,2
